Province,2020,2021,2022,2023
Amnat Charoen,8259,7489,6946,4906
Ang Thong,3771,2373,2519,922
Bangkok,50553,34413,35770,63327
Bungkan,3921,2145,3218,5494
Buri Ram,30223,19671,21351,27818
Chachoengsao,10677,6757,7477,10308
Chai Nat,1991,1015,1559,1553
Chaiyaphum,15824,9539,10856,15346
Chanthaburi,14536,8421,8310,10147
Chiang Mai,24132,13973,21741,28316
Chiang Rai,25016,19663,23815,31238
Chon Buri,10948,4221,10687,14859
Chumphon,4132,2643,3296,3710
Kalasin,5861,6461,5680,7306
Kamphaeng Phet,9970,6457,7709,6295
Kanchanaburi,11435,6677,8341,9900
Khon Kaen,28148,19894,21737,21873
Krabi,5237,2570,2828,3798
Lampang,9679,5888,6086,8002
Lamphun,2862,1551,2142,1228
Loei,10933,7120,9822,10606
Lop Buri,10985,5589,6575,5718
Mae Hong Son,4962,3208,3294,2167
Maha Sarakham,23134,15123,15598,14280
Mukdahan,7399,6567,6910,6438
Nakhon Nayok,3577,2559,3242,2290
Nakhon Pathom,15292,6403,7334,7191
Nakhon Phanom,7616,5395,4280,5742
Nakhon Ratchasima,24813,18572,22494,27958
Nakhon Sawan,13343,9271,10077,9978
Nakhon Si Thammarat,14802,7806,12598,13963
Nan,4467,2752,3651,4245
Narathiwat,6031,2487,5040,5812
Nong Bua Lam Phu,3423,1842,2630,2613
Nong Khai,6517,5009,5424,7600
Nonthaburi,8787,5523,7756,8896
Pathum Thani,4755,2923,5512,5510
Pattani,5291,3555,4500,732
Phangnga,3608,1893,3029,2477
Phatthalung,6674,4267,5756,2613
Phayao,8652,5775,5415,2867
Phetchabun,10791,7684,8644,10047
Phetchaburi,8191,3040,5684,3825
Phichit,6965,3381,4717,6000
Phitsanulok,11933,8072,9381,8406
P.Nakhon S.Ayutthaya,12652,8612,11519,9065
Phrae,5794,4116,5244,4676
Phuket,6340,4864,8499,9871
Prachin Buri,13191,8751,8321,9922
Prachuap Khiri Khan,6942,4609,5249,4795
Ranong,2696,1301,3225,3158
Ratchaburi,10605,7147,10487,8336
Rayong,14458,7548,12559,14153
Roi Et,24531,17077,15908,12687
Sa Kaeo,5314,2618,3625,4808
Sakon Nakhon,6590,4144,5118,4786
Samut Prakan,13576,9531,12200,11524
Samut Sakhon,4658,1090,1393,612
Samut Songkhram,3479,238,1090,2117
Saraburi,9075,4043,9519,10712
Satun,3753,3242,3644,25
Si Sa Ket,25422,17822,18274,19953
Sing Buri,1937,1767,1865,1477
Songkhla,16530,11612,18294,12
Sukhothai,5017,3841,4177,4823
Suphan Buri,8030,3193,5288,7752
Surat Thani,10638,5638,9836,6740
Surin,12147,10167,15338,14136
Tak,9575,6454,8157,7842
Trang,6420,3900,5270,5001
Trat,3748,2357,2843,2550
Ubon Ratchathani,38977,24754,31625,8
Udon Thani,8078,4018,2606,8646
Uthai Thani,4347,2812,3289,3048
Uttaradit,4660,3129,3334,3476
Yala,6486,4231,4088,6978
Yasothon,8588,7353,7756,7573
